email,password,first_name,last_name,phone,address,city,zip_code,country,date_joined,pet_name,pet_type,pet_gender,pet_breed,pet_neutered,pet_age_years,pet_age_months,pet_weight,pet_body_type,pet_activity_level,pet_food_types,pet_food_feeling,pet_food_importance
jan.bos190@gmail.com,JaBos53!2024,Jan,Bos,+31 6 7297 1090,Coolsingel 40,Amsterdam,1097 10,Netherlands,2025-08-31T04:36:56,,,,,,,,,,,,,
cansu.yildiz281@gmail.com,CaYil49@2025,Cansu,Yıldız,+90 532 966 94 84,Halaskargazi Cd 173,Istanbul,34364,Turkey,2025-09-08T22:06:25,,,,,,,,,,,,,
dog4304@gmail.com,ZeAks70@2025,Zeynep,Aksoy,+90 537 565 95 60,Bağdat Cd 227,Istanbul,34103,Turkey,2025-09-09T13:45:33,,,,,,,,,,,,,
gizem.kilic893@icloud.com,GiKil78@2024,Gizem,Kılıç,+90 533 987 07 66,İnönü Cd 22,Istanbul,34931,Turkey,2025-09-10T11:16:15,,,,,,,,,,,,,
ali.kilic@gmail.com,AlKil64!2024,Ali,Kılıç,+90 505 818 08 78,Turan Güneş Blv 249,Istanbul,34222,Turkey,2025-09-11T15:23:26,,,,,,,,,,,,,
ece.dogan@yahoo.com,EcDog16$2024,Ece,Doğan,+90 534 284 32 75,Atatürk Blv 221,Istanbul,34025,Turkey,2025-09-12T00:55:29,,,,,,,,,,,,,
selin.celik469@yahoo.com,SeCel44$2024,Selin,Çelik,+90 530 581 45 72,Nispetiye Cd 64,Istanbul,34710,Turkey,2025-09-13T12:49:14,Loki,Cat,Male,Ragdoll,False,3.0,2.0,7.4,Ideal,Active,Dry food,Happy and energetic,Very important
mehmet.aydin@gmail.com,MeAyd74$2025,Mehmet,Aydın,+90 532 901 73 95,Bağdat Cd 224,Istanbul,34113,Turkey,2025-09-14T08:45:33,,,,,,,,,,,,,
burak.yalcin@icloud.com,BuYal69$2025,Burak,Yalçın,+90 534 317 76 46,İstiklal Cd 202,Istanbul,34934,Turkey,2025-09-14T23:37:22,,,,,,,,,,,,,
ayse.erdogan@gmail.com,AyErd45#2024,Ayşe,Erdoğan,+90 535 928 24 34,Bağdat Cd 74,Istanbul,34530,Turkey,2025-09-15T08:40:34,,,,,,,,,,,,,
deniz.aksoy327@mervis.net,DeAks82$2025,Deniz,Aksoy,+90 532 280 86 42,Cumhuriyet Cd 58,Istanbul,34143,Turkey,2025-09-15T22:27:51,,,,,,,,,,,,,
elif.polat482@gmail.com,ElPol67!2025,Elif,Polat,+90 530 669 94 15,İstiklal Cd 169,Istanbul,34256,Turkey,2025-09-16T09:48:56,,,,,,,,,,,,,
hilal.polat@gmail.com,HiPol36$2025,Hilal,Polat,+90 531 168 21 72,Atatürk Blv 118,Istanbul,34205,Turkey,2025-09-16T11:12:00,,,,,,,,,,,,,
onur.aksoy309@outlook.com,OnAks38!2024,Onur,Aksoy,+90 533 274 62 49,Cumhuriyet Cd 118,Istanbul,34977,Turkey,2025-09-17T06:58:30,Max,Dog,Female,Beagle,True,3.0,7.0,10.7,Muscular,Moderately Active,"Dry food, Wet food",Calm and balanced,Very important
ali.ozturk@gmail.com,AlOzt39$2025,Ali,Öztürk,+90 533 676 37 69,Halaskargazi Cd 211,Istanbul,34889,Turkey,2025-09-17T09:26:38,,,,,,,,,,,,,
eagle4489@gmail.com,CeCel23!2025,Cem,Çelik,+90 530 567 81 31,Bağdat Cd 209,Istanbul,34764,Turkey,2025-09-17T13:44:56,Cooper,Dog,Male,Shiba Inu,True,3.0,4.0,7.5,Underweight,Less Active,"Wet food, Raw food",Happy and energetic,Very important
asli.koc@icloud.com,AsKoc20!2024,Aslı,Koç,+90 538 843 45 09,Bağdat Cd 212,Konya,42789,Turkey,2025-09-18T01:52:37,,,,,,,,,,,,,
ayse.ozturk@gmail.com,AyOzt13#2025,Ayşe,Öztürk,+90 534 805 24 90,Turan Güneş Blv 31,Istanbul,34612,Turkey,2025-09-18T03:35:26,,,,,,,,,,,,,
lisa.vandermeer841@yahoo.com,Livan85!2025,Lisa,van der Meer,+31 6 6838 7648,Spui 20,Amsterdam,1041 27,Netherlands,2025-09-18T14:53:01,,,,,,,,,,,,,
berk.yalcin@outlook.com,BeYal10@2025,Berk,Yalçın,+90 501 101 74 53,Bağdat Cd 27,Istanbul,34000,Turkey,2025-09-19T00:25:01,Poppy,Dog,Male,French Bulldog,True,12.0,11.0,9.6,Ideal,Very Active,"Wet food, Raw food",Always hungry,Very important
