email,password,first_name,last_name,phone,address,city,zip_code,country,date_joined,pet_name,pet_type,pet_gender,pet_breed,pet_neutered,pet_age_years,pet_age_months,pet_weight,pet_body_type,pet_activity_level,pet_food_types,pet_food_feeling,pet_food_importance
smartowl31@gmail.com,HaSah64@2024,Hakan,Şahin,+90 535 237 78 90,Cumhuriyet Cd 13,Istanbul,34176,Turkey,2025-10-04T15:40:32,Bella,Cat,Female,Sphynx,True,8.0,10.0,4.3,Ideal,Very Active,"Dry food, Raw food",Easily distracted,Very important
bram.meijer422@msn.com,BrMei35!2025,Bram,Meijer,+31 6 7384 0470,Lijnbaan 250,Amsterdam,1094 72,Netherlands,2025-10-04T17:23:48,,,,,,,,,,,,,
burak.ozturk@gmail.com,BuOzt17#2025,Burak,Öztürk,+90 501 161 16 49,Bağdat Cd 150,Istanbul,34761,Turkey,2025-10-04T19:50:58,Sunny,Dog,Male,French Bulldog,False,4.0,3.0,13.9,Overweight,Very Active,Dry food,Content and satisfied,Important
aino.heikkinen258@outlook.com,AiHei88@2024,Aino,Heikkinen,+358 044 4949834,Itäkatu 53,Turku,20628,Finland,2025-10-04T20:22:08,Hazel,Cat,Female,Sphynx,False,5.0,9.0,4.3,Ideal,Less Active,"Wet food, Raw food",Easily distracted,Important
juha.korhonen@gmail.com,JuKor91!2024,Juha,Korhonen,+358 041 7080457,Itäkatu 117,Vantaa,01591,Finland,2025-10-04T21:34:00,Simba,Cat,Female,Siamese,False,2.0,5.0,3.6,Muscular,Active,"Dry food, Raw food",Picky eater,Very important
bram.vandijk445@gmail.com,Brvan86#2024,Bram,van Dijk,+31 6 1059 8286,Damrak 172,Rotterdam,3006 65,Netherlands,2025-10-04T23:27:59,Smokey,Cat,Male,Ragdoll,True,7.0,8.0,5.0,Underweight,Moderately Active,"Dry food, Wet food",Happy and energetic,Important
can.dogan@saha.com,CaDog65@2024,Can,Doğan,+90 535 373 74 62,Turan Güneş Blv 49,Istanbul,34820,Turkey,2025-10-04T23:50:17,,,,,,,,,,,,,
smart.falcon_6213@gmail.com,JaNie97!2025,Jari,Nieminen,+358 040 7069814,Hämeenkatu 205,Helsinki,00195,Finland,2025-10-05T00:17:04,,,,,,,,,,,,,
deniz.celik@gmail.com,DeCel55@2024,Deniz,Çelik,+90 530 330 24 54,Turan Güneş Blv 73,Istanbul,34679,Turkey,2025-10-05T00:21:11,Misty,Cat,Female,Sphynx,False,10.0,5.0,3.6,Muscular,Active,"Dry food, Wet food",Picky eater,Very important
ece.aydin133@mail.com,EcAyd52!2024,Ece,Aydın,+90 538 455 26 45,Bağdat Cd 196,Istanbul,34863,Turkey,2025-10-05T00:30:50,Sunny,Dog,Female,Golden Retriever,True,9.0,10.0,25.7,Muscular,Active,"Dry food, Raw food",Picky eater,Very important
