email,password,first_name,last_name,phone,address,city,zip_code,country,date_joined,pet_name,pet_type,pet_gender,pet_breed,pet_neutered,pet_age_years,pet_age_months,pet_weight,pet_body_type,pet_activity_level,pet_food_types,pet_food_feeling,pet_food_importance
jari.laine998@mervis.net,JaLai28#2025,Jari,Laine,+358 040 1344783,Itäkatu 123,Helsinki,00024,Finland,2025-10-16T20:06:15,Daisy,Dog,Female,French Bulldog,False,8.0,5.0,9.6,Underweight,Moderately Active,"Wet food, Raw food",Calm and balanced,Important
mert.polat436@proton.me,MePol12@2025,Mert,Polat,+90 505 203 14 65,Halaskargazi Cd 178,Izmir,35968,Turkey,2025-10-16T20:12:13,,,,,,,,,,,,,
silent.bear_3002@gmail.com,BuSah87!2025,Burak,Şahin,+90 534 777 17 01,Atatürk Blv 62,Adana,01268,Turkey,2025-10-16T20:55:37,,,,,,,,,,,,,
elif.koc555@yahoo.com,ElKoc27#2024,Elif,Koç,+90 501 965 94 70,Atatürk Blv 114,Istanbul,34547,Turkey,2025-10-16T21:08:37,Oreo,Dog,Female,Shiba Inu,False,11.0,5.0,8.7,Ideal,Very Active,Dry food,Easily distracted,Very important
zeynep.aydin@gmail.com,ZeAyd12#2025,Zeynep,Aydın,+90 533 661 63 01,Nispetiye Cd 48,Gaziantep,27615,Turkey,2025-10-16T21:44:48,,,,,,,,,,,,,
deniz.demir@gmail.com,DeDem57@2024,Deniz,Demir,+90 531 693 86 04,Cumhuriyet Cd 187,Istanbul,34231,Turkey,2025-10-16T22:36:39,,,,,,,,,,,,,
jari.hamalainen@proton.me,JaHam30!2024,Jari,Hämäläinen,+358 040 8518365,Esplanadi 64,Helsinki,00362,Finland,2025-10-16T23:10:25,,,,,,,,,,,,,
ayse.erdogan691@gmail.com,AyErd57$2025,Ayşe,Erdoğan,+90 537 393 71 14,Cumhuriyet Cd 70,Istanbul,34101,Turkey,2025-10-16T23:11:47,,,,,,,,,,,,,
sophie.vanvliet478@yahoo.com,Sovan96@2025,Sophie,van Vliet,+31 6 3072 9298,Nieuwezijds Voorburgwal 231,Den Bosch,5274 00,Netherlands,2025-10-16T23:50:26,,,,,,,,,,,,,
sophie.smit@yandex.com,SoSmi63$2024,Sophie,Smit,+31 6 1716 5475,Nieuwezijds Voorburgwal 2,Amsterdam,1052 24,Netherlands,2025-10-17T00:18:40,,,,,,,,,,,,,
